AREA_NAME,YEAR,GROUP_NAME,SUB_GROUP_NAME,AUTO_THEFT_COORDINATED_TRACED,AUTO_THEFT_RECOVERED,AUTO_THEFT_STOLEN
Karnataka,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,190.0,1020.0,3376
Kerala,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,35.0,373.0,1272
Madhya Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,66.0,1285.0,4225
Maharashtra,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,172.0,2098.0,6777
Manipur,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,9.0,98
Meghalaya,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,6.0,31
Mizoram,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,17.0,18
Nagaland,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,12.0,89
Odisha,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32.0,307.0,784
Puducherry,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,44.0,249
Punjab,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,203.0,310.0,725
Rajasthan,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,30.0,714.0,3696
Tamil Nadu,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44.0,2934.0,4319
Tripura,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,63.0,71
Uttar Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,934.0,4126
Uttarakhand,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,64.0,253
West Bengal,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,64.0,423.0,2704
Andaman & Nicobar Islands,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,2.0,3
Andhra Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,38.0,1636.0,3865
Arunachal Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,11.0,49
Assam,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,58.0,497
Bihar,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,16.0,243.0,1183
Chandigarh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,131.0,274
Chhattisgarh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,325.0,752
Dadra & Nagar Haveli,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,10
Daman & Diu,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,8.0,26
Delhi,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,257.0,586.0,3360
Goa,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,39.0,124
Gujarat,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,347.0,1770.0,6131
Haryana,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,80.0,929.0,1989
Himachal Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,31.0,78
Jammu & Kashmir,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,73.0,301
Jharkhand,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,24.0,137
Karnataka,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,93.0,1040.0,3597
Kerala,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,440.0,1070
Lakshadweep,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,1.0,1
Madhya Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1266.0,4291
Maharashtra,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,597.0,2116.0,7078
Manipur,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,4.0,107
Meghalaya,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,8.0,41
Mizoram,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,29.0,31
Nagaland,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,46.0,197
Odisha,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,94.0,248.0,752
Puducherry,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,63.0,63.0,284
Punjab,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,206.0,327.0,818
Rajasthan,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,37.0,820.0,4482
Tamil Nadu,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1107.0,3013.0,4317
Tripura,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,6.0,52
Uttar Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,21.0,920.0,3376
Uttarakhand,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,83.0,269
West Bengal,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,29.0,374.0,2049
Andaman & Nicobar Islands,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,8.0,8
Andhra Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,254.0,1705.0,3857
Arunachal Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,31.0,75
Assam,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,84.0,551
Bihar,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,257.0,1829
Chandigarh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,112.0,364
Chhattisgarh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,416.0,1131
Dadra & Nagar Haveli,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,8.0,15
Daman & Diu,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,10
Delhi,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,125.0,871.0,4342
Goa,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,38.0,112
Gujarat,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,456.0,1798.0,6075
Haryana,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1013.0,2420
Himachal Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,6.0,42.0,82
Jammu & Kashmir,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9.0,76.0,313
Jharkhand,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,57.0,597
Karnataka,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,113.0,1146.0,4578
Kerala,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,497.0,1233
Madhya Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,160.0,1527.0,5481
Maharashtra,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,323.0,2832.0,8748
Manipur,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,4.0,106
Meghalaya,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,9.0,38
Mizoram,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,0.0,0
Nagaland,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,10.0,24
Odisha,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,145.0,344.0,1300
Puducherry,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,176.0,313
